If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
Innovate Finance Allows Bitfury to Join With Bitcoin,Banks Need To Collaborate With Bitcoin and Fintech Developers,Blockchain CEO's Business Advice on Bitcoin Startups,Are you a bitcoin denialist? - Chris Skinner's blog,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Blockchain won't kill banks: Bitcoin pioneer,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Confused by blockchains? Revolution vs Evolution,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Governments vs Bitcoin: A Fight For Control
Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Blockchain won't kill banks: Bitcoin pioneer,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Blockchain: o que é e como funciona,Could Blockchain Have Protected the Bosses Implicated in the Panama Papers?,4 Blockchain Macro Trends: Where to Place Your Bets,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,DTCC and Digital Asset Holdings to Test Blockchain Solutions for the $2.6 Trillion Repo Market
The economic essentials of digital strategy,Making digital strategy a reality in insurance,Five priorities for competing in an era of digital globalization,An incumbent's guide to digital disruption,Building a digital-banking business,The surprising truth about which countries lead in digital,Organizing for digital acceleration: Making a two-speed IT operating model work,7 Questions to Ask Before Your Next Digital Transformation,NOW NEW NEXT: How growth champions create new value,The Future of Digital Banking is Now,Transforming life insurance with design thinking
The incestuous relations among containers orchestration tools,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,Docker 1.12: Now with Built-in Orchestration!,Docker Swarm,Your Docker Agenda for April,Automate Docker with the Remote API and Ruby,"Use Docker to build, test and push your Artifacts",Why You Should Stop Installing Your WebDev Environment Locally - Smashing Magazine,Docker Engine 1.11 with runC: Announcing the general availability of the industry's first OCI-compliant runtime,Containers - Clean up your House
​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,How to Install and Use the Linux Bash Shell on Windows 10,Bash on Ubuntu on Windows - Download Now!,Introducing Docker for Windows Server 2016 - Docker Blog,Microsoft's mobile problem may not be a problem at all,Windows 10 Anniversary SDK is bringing exciting opportunities to developers,Windows Server 2016 will come with commercial support for Docker Engine,How to use Windows 10's Task View and virtual desktops,The Future of Pen: Windows Ink,"Microsoft: Windows Phone is not the place to do ""new and exciting things"" - MSPoweruser"
Behind Facebook Messenger's plan to be an app platform,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,"Facebook sends a loud message about Messenger bots, but will we hear it?",Bots won't replace apps. Better apps will replace apps.,2016 will be the year of conversational commerce - Chris Messina,"Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",Conversational Banking; from branches to bots. - Chatbots Magazine,Facebook Messenger bots are here and they want to kill apps,"Facebook says 10K+ developers are building chatbots, analytics coming",Life Beyond Email: Chatbot Marketing,The Conversational Economy Part 1: What's Causing the Bot Craze?
Google's Schmidt Says Computers Not a Threat to Humans or Jobs,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",'Machine learning' is a revolution as big as the internet or personal computers,The return of the machinery question,Automation and anxiety,Finding The Meaning Of Artificial Intelligence At Google I/O,Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Clarifying the uses of artificial intelligence in the enterprise,Andrew Ng: What AI Can and Can't Do,"Google Sprints Ahead in AI Building Blocks, Leaving Rivals Wary","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
LukeW | Obvious Always Wins,Perfect Menu for Mobile Apps - UX Planet,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Mobile marketing statistics 2016,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,Why porting an iOS design to Android will not work,Browser Trends December 2016: Mobile Overtakes Desktop,Amex Canada Discovers 68% More Mobile-Driven Conversions With Cross-Device Measurement,22 Mobile Stats Everyone Should Know - DZone Mobile,The Conversational Economy Part 1: What's Causing the Bot Craze?
"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",Bots won't replace apps. Better apps will replace apps.,98 personal data points that Facebook uses to target ads to you,Why porting an iOS design to Android will not work,Facebook Messenger bots are here and they want to kill apps,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Facebook at Work pushed to 'later this year',The End Of Apps As We Know Them - Inside Intercom,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Google moves to replace Flash with HTML5
"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",Dilma regula Marco Civil e acaba com WhatsApp e Facebook grátis no celular,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Tendências do Marketing de Conteúdo 2016,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Neoliberalismo a ideologia na raiz de todos os nossos problemas,Plano nacional de ''internet das coisas'' sai em fevereiro,Olhando para o futuro: 5 pontos de atenção,Black Friday salva o ano do e-commerce,Meio&Mensagem
Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Perfect Menu for Mobile Apps - UX Planet,LukeW | Obvious Always Wins,Why porting an iOS design to Android will not work,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",How to Design a Walkthrough That Users Will Read,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,Improvements coming to the Google Analytics desktop UI,My Approach to Mobile Accessibility Testing - Ministry of Testing,Top 10 Intranet Trends of 2016,Building more accessible technology
How to Avoid Building Bad Products with Rapid Validation - Lean Startup Co.,Usability Heuristics for Bots - Chatbots Magazine,Bots won't replace apps. Better apps will replace apps.,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,So long MVP. Hello Minimum Loveable Product.,To bot or not to bot,Facebook Messenger bots are here and they want to kill apps,Why 5 is the magic number for UX usability testing,How to scale yourself: the '99/50/1' framework - The Mission,Building Products
5 open-source alternatives to Slack,Slack swips at Skype with video calls and reaction emoji,Slack and Google announce partnership focused on better integrating their services,How people using Slack to organise their grocery lists is helping it grow,Threaded messaging is coming to Slack,"Slack and Uber's parting proves when apps unite, it isn't always a smooth ride","Slack debuts message buttons: bots with Trello, Kayak and 10 more to perform tasks in its app",Introducing Sign in with Slack - Slack Platform Blog,Building on Slack Saved Our Startup,Slack raises $200m at $3.8b valuation for business messaging,IBM Watson is about to make Slack's chat bot smarter
IAM best practice guides available now,Cloud Identity and Access Management - Google IAM,Snapchat shares security best practices for running on GCP,Centrally manage all your Google Cloud resources with Cloud Resource Manager,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),Google Cloud Platform: The smart person's guide - TechRepublic,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Google Cloud Platform for AWS Professionals,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Cloud Platform sets a course for new horizons,Spotify chooses Google Cloud Platform to power data infrastructure
"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",Google Cloud Platform: The smart person's guide - TechRepublic,Analyst: Google's cloud business could cause the stock to soar to over $900,Google believes its superior AI will be the key to its future,Google's Cloud Machine Learning service is now in public beta,Google connects BigQuery to Google Drive and Sheets,"Google Sprints Ahead in AI Building Blocks, Leaving Rivals Wary",Top 5 GCP NEXT breakout sessions on YouTube (so far)
Acquia's Dev Desktop - a Drupal server for beginners,Dries Buytaert,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption","Acquia Releases Lightning for Drupal 8, Enabling Fast Starts for Digital Experience Deployments [July 19, 2016]",Choosing Modules and Themes for Drupal 8,Production Ready Jenkins 2.0 in Two Steps with Docker,Dries Distributions remain a growing opportunity for Drupal - Buytaert,The investment case for employing a Drupal core contributor - Dries Buytaert,How to set up Analytics on your AMP page,Dries Buytaert,The Risks and Rewards of Fully Decoupling Drupal | Acquia
Introducing the Google API Console,Chrome DevTools - Console API Reference,"Google Cloud Endpoints now generally available: a fast, scalable API gateway",Most Interesting APIs in 2016: Cognitive Computing,"Google Cloud Machine Learning family grows with new API, editions and pricing",The Rise of the API-based SaaS,"Cloud Shell now GA, and still free",Automate deployments and traffic splitting with the App Engine Admin API,The Java 8 API Design Principles,A Tale of 2 API Platforms - GGV Capital,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,Sources: Snapchat is raising more money at about a $20 billion valuation,Facebook at Work pushed to 'later this year',Lady Gaga's startup Backplane burns out and sells assets,Ask a Female Engineer: Joining a Startup,State of the Digital Nation 2016,This year's Founders' Letter,How people using Slack to organise their grocery lists is helping it grow,Slack raises $200m at $3.8b valuation for business messaging,Coca-Cola reportedly closes Founders startup incubator,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello"
Perfect Menu for Mobile Apps - UX Planet,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,LukeW | Obvious Always Wins,How to Design a Walkthrough That Users Will Read,Why 5 is the magic number for UX usability testing,Usability Heuristics for Bots - Chatbots Magazine,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",98 personal data points that Facebook uses to target ads to you,Why porting an iOS design to Android will not work,Machine Learning for Designers,How We Lost 47% of Our Users After a Redesign | Icons8
Paragraphs,Drupal 8.1.0 is now available,14 Cool Drupal 8 modules for site builders | August 2016,Choosing Modules and Themes for Drupal 8,Dries Buytaert,The Risks and Rewards of Fully Decoupling Drupal | Acquia,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Drupal and ambitious digital experiences,State of Drupal 2016 survey | Dries Buytaert,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",Dries Buytaert: Advancing Drupal's web services
